"Label (Grouping)","Total"
"Alabama",""
"    Alabama","4,779,736 (r38235)"
"Alaska",""
"    Alaska","710,231 (r38823)"
"Arizona",""
"    Arizona","6,392,017"
"Arkansas",""
"    Arkansas","2,915,918 (r39193)"
"California",""
"    California","37,253,956"
"Colorado",""
"    Colorado","5,029,196"
"Connecticut",""
"    Connecticut","3,574,097"
"Delaware",""
"    Delaware","897,934"
"District of Columbia",""
"    District of Columbia","601,723 (r39494)"
"Florida",""
"    Florida","18,801,310 (r40184)"
"Georgia",""
"    Georgia","9,687,653 (r41102)"
"Hawaii",""
"    Hawaii","1,360,301"
"Idaho",""
"    Idaho","1,567,582 (r41542)"
"Illinois",""
"    Illinois","12,830,632"
"Indiana",""
"    Indiana","6,483,802"
"Iowa",""
"    Iowa","3,046,355"
"Kansas",""
"    Kansas","2,853,118"
"Kentucky",""
"    Kentucky","4,339,367"
"Louisiana",""
"    Louisiana","4,533,372"
"Maine",""
"    Maine","1,328,361"
"Maryland",""
"    Maryland","5,773,552 (r42264)"
"Massachusetts",""
"    Massachusetts","6,547,629"
"Michigan",""
"    Michigan","9,883,640 (r45127)"
"Minnesota",""
"    Minnesota","5,303,925"
"Mississippi",""
"    Mississippi","2,967,297"
"Missouri",""
"    Missouri","5,988,927"
"Montana",""
"    Montana","989,415"
"Nebraska",""
"    Nebraska","1,826,341"
"Nevada",""
"    Nevada","2,700,551"
"New Hampshire",""
"    New Hampshire","1,316,470"
"New Jersey",""
"    New Jersey","8,791,894 (r46246)"
"New Mexico",""
"    New Mexico","2,059,179 (r46748)"
"New York",""
"    New York","19,378,102"
"North Carolina",""
"    North Carolina","9,535,483"
"North Dakota",""
"    North Dakota","672,591"
"Ohio",""
"    Ohio","11,536,504"
"Oklahoma",""
"    Oklahoma","3,751,351"
"Oregon",""
"    Oregon","3,831,074"
"Pennsylvania",""
"    Pennsylvania","12,702,379"
"Rhode Island",""
"    Rhode Island","1,052,567"
"South Carolina",""
"    South Carolina","4,625,364"
"South Dakota",""
"    South Dakota","814,180 (r48166)"
"Tennessee",""
"    Tennessee","6,346,105"
"Texas",""
"    Texas","25,145,561 (r48514)"
"Utah",""
"    Utah","2,763,885"
"Vermont",""
"    Vermont","625,741"
"Virginia",""
"    Virginia","8,001,024"
"Washington",""
"    Washington","6,724,540"
"West Virginia",""
"    West Virginia","1,852,994"
"Wisconsin",""
"    Wisconsin","5,686,986"
"Wyoming",""
"    Wyoming","563,626"
"Puerto Rico",""
"    Puerto Rico","3,725,789 (r49850)"
