"INDICATOR","HFA_13"

"HFA_13","% of population aged 65+ years, by sex"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1950","6"
"ALB","","ALL","1951","6.1"
"ALB","","ALL","1952","6.2"
"ALB","","ALL","1953","6.2"
"ALB","","ALL","1954","6.2"
"ALB","","ALL","1955","6.1"
"ALB","","ALL","1956","6"
"ALB","","ALL","1957","5.8"
"ALB","","ALL","1958","5.7"
"ALB","","ALL","1959","5.6"
"ALB","","ALL","1960","5.5"
"ALB","","ALL","1961","5.4"
"ALB","","ALL","1962","5.4"
"ALB","","ALL","1963","5.3"
"ALB","","ALL","1964","5.3"
"ALB","","ALL","1965","5.2"
"ALB","","ALL","1966","5.1"
"ALB","","ALL","1967","5"
"ALB","","ALL","1968","4.9"
"ALB","","ALL","1969","4.9"
"ALB","","ALL","1970","4.8"
"ALB","","ALL","1971","4.8"
"ALB","","ALL","1972","4.7"
"ALB","","ALL","1973","4.7"
"ALB","","ALL","1974","4.7"
"ALB","","ALL","1975","4.8"
"ALB","","ALL","1976","4.8"
"ALB","","ALL","1977","4.8"
"ALB","","ALL","1978","4.8"
"ALB","","ALL","1979","4.8"
"ALB","","ALL","1980","4.9"
"ALB","","ALL","1981","4.9"
"ALB","","ALL","1982","4.9"
"ALB","","ALL","1983","5"
"ALB","","ALL","1984","5.1"
"ALB","","ALL","1985","5.3"
"ALB","","ALL","1986","5.3"
"ALB","","ALL","1987","5.3"
"ALB","","ALL","1988","5.3"
"ALB","","ALL","1989","5.3"
"ALB","","ALL","1990","5.32"
"ALB","","ALL","1991","5.51"
"ALB","","ALL","1992","5.75"
"ALB","","ALL","1993","5.93"
"ALB","","ALL","1994","6.03"
"ALB","","ALL","1995","6.12"
"ALB","","ALL","1996","6.13"
"ALB","","ALL","1997","6.13"
"ALB","","ALL","1998","6.14"
"ALB","","ALL","1999","6.13"
