"INDICATOR","HFA_1"

"HFA_1","Mid-year population, by sex"

"UNIT_TYPE","Unit"
"NUM_PERS","number of persons"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"
"CAH","Child and Adolescent Health and Development Strategy Indicators"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1970","2138000"
"ALB","","ALL","1971","2195600"
"ALB","","ALL","1972","2253200"
"ALB","","ALL","1973","2310800"
"ALB","","ALL","1974","2368400"
"ALB","","ALL","1975","2426000"
"ALB","","ALL","1976","2487000"
"ALB","","ALL","1977","2548000"
"ALB","","ALL","1978","2609000"
"ALB","","ALL","1979","2670000"
"ALB","","ALL","1980","2671300"
"ALB","","ALL","1981","2725300"
"ALB","","ALL","1982","2782700"
"ALB","","ALL","1983","2841300"
"ALB","","ALL","1984","2900700"
"ALB","","ALL","1985","2957400"
"ALB","","ALL","1986","3015200"
"ALB","","ALL","1987","3076100"
"ALB","","ALL","1988","3138100"
"ALB","","ALL","1989","3182417"
"ALB","","ALL","1990","3286542"
"ALB","","ALL","1991","3259814"
"ALB","","ALL","1992","3190103"
"ALB","","ALL","1993","3167478"
"ALB","","ALL","1994","3202031"
"ALB","","ALL","1995","3248836"
"ALB","","ALL","1996","3283000"
"ALB","","ALL","1997","3324317"
"ALB","","ALL","1998","3354341"
"ALB","","ALL","1999","3373445"
"ALB","","ALL","2000","3114000"
"ALB","","ALL","2001","3069275"
"ALB","","ALL","2002","3084150"
"ALB","","ALL","2003","3102764"
"ALB","","ALL","2004","3127263"
"ALB","","ALL","2005","3011490"
"ALB","","ALL","2006","2992551"
"ALB","","ALL","2007","2970021"
"ALB","","ALL","2008","2947320"
"ALB","","ALL","2009","2927522"
"ALB","","ALL","2010","2913029"
"ALB","","ALL","2011","2904784"
"ALB","","ALL","2012","2900253"
"ALB","","ALL","2013","2896655"
"ALB","","ALL","2014","2889676"
"ALB","","ALL","2015","2889173"
"ALB","","ALL","2016","2903700"
"ALB","","ALL","2017","2870324"
"ALB","","ALL","2018","2862427"
"ALB","","ALL","2019","2862427"
"ALB","","ALL","2020","2862427"
"ALB","","ALL","2021","2811666"
"ALB","","ALL","2022","2842321"
"ALB","","ALL","2023","2842321"
"AND","","ALL","1991","56777"
"AND","","ALL","1992","60323"
"AND","","ALL","1993","63413"
"AND","","ALL","1994","64769"
"AND","","ALL","1995","64085"
"AND","","ALL","1996","64170"
"AND","","ALL","1997","64893"
"AND","","ALL","1998","65592"
"AND","","ALL","1999","65924"
"AND","","ALL","2000","65907"
"AND","","ALL","2001","66087"
"AND","","ALL","2002","66744"
"AND","","ALL","2003","69739.5"
"AND","","ALL","2004","74597.5"
"AND","","ALL","2005","77712"
"AND","","ALL","2006","79885"
"AND","","ALL","2007","82179"
"AND","","ALL","2008","83810"
"AND","","ALL","2009","84283"
"AND","","ALL","2010","84548"
"AND","","ALL","2011","81565"
"AND","","ALL","2012","77180.5"
"AND","","ALL","2013","76172"
"AND","","ALL","2014","72785"
"AND","","ALL","2015","77481"
"AND","","ALL","2016","77872"
"AND","","ALL","2017","79236"
"AND","","ALL","2018","80242"
"AND","","ALL","2019","81011"
"AND","","ALL","2020","81011"
"AND","","ALL","2021","79034"
"AND","","ALL","2022","79824"
"AND","","ALL","2023","79824"
"ARM","","ALL","1980","3102900"
"ARM","","ALL","1981","3100799"
"ARM","","ALL","1982","3132618"
"ARM","","ALL","1983","3182000"
"ARM","","ALL","1984","3198574"
"ARM","","ALL","1985","3231552"
"ARM","","ALL","1986","3266784"
"ARM","","ALL","1987","3302354"
"ARM","","ALL","1988","3310400"
"ARM","","ALL","1989","3306200"
"ARM","","ALL","1990","3351600"
"ARM","","ALL","1991","3611800"
"ARM","","ALL","1992","3685600"
"ARM","","ALL","1993","3463698"
"ARM","","ALL","1994","3356703"
"ARM","","ALL","1995","3260301"
"ARM","","ALL","1996","3248791"
"ARM","","ALL","1997","3245998"
"ARM","","ALL","1998","3238202"
"ARM","","ALL","1999","3232099"
"ARM","","ALL","2000","3226899"
"ARM","","ALL","2001","3215312"
"ARM","","ALL","2002","3212878"
"ARM","","ALL","2003","3211267"
"ARM","","ALL","2004","3214030"
"ARM","","ALL","2005","3217534"
"ARM","","ALL","2006","3230086"
"ARM","","ALL","2007","3226520"
"ARM","","ALL","2008","3234031"
"ARM","","ALL","2009","3243729"
"ARM","","ALL","2010","3256066"
"ARM","","ALL","2011","3268468"
"ARM","","ALL","2012","3024127"
"ARM","","ALL","2013","3021979"
"ARM","","ALL","2014","3006154"
"ARM","","ALL","2015","3004588"
"ARM","","ALL","2016","3026048"
"ARM","","ALL","2017","2979442"
"ARM","","ALL","2018","2969001"
"ARM","","ALL","2019","2962482"
"ARM","","ALL","2020","2961473"
"ARM","","ALL","2021","2962309"
"ARM","","ALL","2022","2969249"
"ARM","","ALL","2023","2969249"
"AUT","","ALL","1970","7390900"
"AUT","","ALL","1971","7456400"
"AUT","","ALL","1972","7468500"
"AUT","","ALL","1973","7476000"
"AUT","","ALL","1974","7533200"
"AUT","","ALL","1975","7519900"
"AUT","","ALL","1976","7513000"
"AUT","","ALL","1977","7518300"
"AUT","","ALL","1978","7508400"
"AUT","","ALL","1979","7503300"
"AUT","","ALL","1980","7505100"
"AUT","","ALL","1981","7568700"
"AUT","","ALL","1982","7574140"
"AUT","","ALL","1983","7561910"
"AUT","","ALL","1984","7561434"
"AUT","","ALL","1985","7564984"
"AUT","","ALL","1986","7569794"
"AUT","","ALL","1987","7574586"
"AUT","","ALL","1988","7585317"
"AUT","","ALL","1989","7619566"
"AUT","","ALL","1990","7677850"
"AUT","","ALL","1991","7754891"
"AUT","","ALL","1992","7840709"
"AUT","","ALL","1993","7905632"
"AUT","","ALL","1994","7936118"
"AUT","","ALL","1995","7948278"
"AUT","","ALL","1996","7959016"
"AUT","","ALL","1997","7968041"
"AUT","","ALL","1998","7976789"
"AUT","","ALL","1999","7992323"
"AUT","","ALL","2000","8011566"
"AUT","","ALL","2001","8042293"
"AUT","","ALL","2002","8082121"
"AUT","","ALL","2003","8118245"
"AUT","","ALL","2004","8169441"
"AUT","","ALL","2005","8225278"
"AUT","","ALL","2006","8267948"
"AUT","","ALL","2007","8295189"
"AUT","","ALL","2008","8321541"
"AUT","","ALL","2009","8341483"
"AUT","","ALL","2010","8361069"
"AUT","","ALL","2011","8388534"
"AUT","","ALL","2012","8426311"
"AUT","","ALL","2013","8477230"
"AUT","","ALL","2014","8543932"
"AUT","","ALL","2015","8629519"
"AUT","","ALL","2016","8739806"
"AUT","","ALL","2017","8795073"
"AUT","","ALL","2018","8837707"
"AUT","","ALL","2019","8877637"
"AUT","","ALL","2020","8916845"
"AUT","","ALL","2021","8951520"
"AUT","","ALL","2022","9052856"
"AUT","","ALL","2023","9052856"
"AZE","","ALL","1970","5172050"
"AZE","","ALL","1971","5282950"
"AZE","","ALL","1972","5391450"
"AZE","","ALL","1973","5493900"
"AZE","","ALL","1974","5594100"
"AZE","","ALL","1975","5689050"
"AZE","","ALL","1976","5781000"
"AZE","","ALL","1977","5876150"
"AZE","","ALL","1978","5976150"
"AZE","","ALL","1979","6071300"
"AZE","","ALL","1980","6160500"
"AZE","","ALL","1981","6252286"
"AZE","","ALL","1982","6350620"
"AZE","","ALL","1983","6453321"
"AZE","","ALL","1984","6556021"
"AZE","","ALL","1985","6658722"
"AZE","","ALL","1986","6757386"
"AZE","","ALL","1987","6860894"
"AZE","","ALL","1988","6963500"
"AZE","","ALL","1989","6967600"
"AZE","","ALL","1990","7020366"
"AZE","","ALL","1991","7174997"
"AZE","","ALL","1992","7265647"
"AZE","","ALL","1993","7332528"
"AZE","","ALL","1994","7392006"
"AZE","","ALL","1995","7444318"
"AZE","","ALL","1996","7488115"
"AZE","","ALL","1997","7536200"
"AZE","","ALL","1998","7913000"
"AZE","","ALL","1999","7982800"
"AZE","","ALL","2000","8048600"
"AZE","","ALL","2001","8111200"
"AZE","","ALL","2002","8171950"
"AZE","","ALL","2003","8234100"
"AZE","","ALL","2004","8306500"
"AZE","","ALL","2005","8391850"
"AZE","","ALL","2006","8609450"
"AZE","","ALL","2007","8581300"
"AZE","","ALL","2008","8838350"
"AZE","","ALL","2009","8947150"
"AZE","","ALL","2010","9054350"
"AZE","","ALL","2011","9173100"
"AZE","","ALL","2012","9295800"
"AZE","","ALL","2013","9416800"
"AZE","","ALL","2014","9629779"
"AZE","","ALL","2015","9649300"
"AZE","","ALL","2016","9757790.5"
"AZE","","ALL","2017","9854050"
"AZE","","ALL","2018","9854050"
"AZE","","ALL","2019","9854050"
"AZE","","ALL","2020","9854050"
"AZE","","ALL","2021","10312992"
"AZE","","ALL","2022","10358074"
"AZE","","ALL","2023","10358074"
"BEL","","ALL","1970","9637700"
"BEL","","ALL","1971","9673200"
"BEL","","ALL","1972","9711100"
"BEL","","ALL","1973","9741800"
"BEL","","ALL","1974","9756600"
"BEL","","ALL","1975","9800700"
"BEL","","ALL","1976","9818300"
"BEL","","ALL","1977","9830400"
"BEL","","ALL","1978","9837500"
"BEL","","ALL","1979","9848300"
"BEL","","ALL","1980","9855100"
"BEL","","ALL","1981","9848600"
"BEL","","ALL","1982","9857300"
"BEL","","ALL","1983","9858000"
"BEL","","ALL","1984","9853000"
"BEL","","ALL","1985","9858300"
"BEL","","ALL","1986","9864700"
"BEL","","ALL","1987","9870200"
"BEL","","ALL","1988","9901700"
"BEL","","ALL","1989","9937700"
"BEL","","ALL","1990","9967400"
"BEL","","ALL","1991","10004500"
"BEL","","ALL","1992","10045200"
"BEL","","ALL","1993","10083800"
"BEL","","ALL","1994","10115600"
"BEL","","ALL","1995","10136800"
"BEL","","ALL","1996","10156637"
"BEL","","ALL","1997","10170226"
"BEL","","ALL","1998","10203008"
"BEL","","ALL","1999","10226419"
"BEL","","ALL","2000","10251250"
"BEL","","ALL","2001","10286569"
"BEL","","ALL","2002","10332785"
"BEL","","ALL","2003","10376132.5"
"BEL","","ALL","2004","10421136"
"BEL","","ALL","2005","10478617"
"BEL","","ALL","2006","10547962"
"BEL","","ALL","2007","10625701"
"BEL","","ALL","2008","10709973"
"BEL","","ALL","2009","10796493"
"BEL","","ALL","2010","10839905"
"BEL","","ALL","2011","11000638"
"BEL","","ALL","2012","11123489"
"BEL","","ALL","2013","11178436"
"BEL","","ALL","2014","11227283"
"BEL","","ALL","2015","11265834"
"BEL","","ALL","2016","11352259"
"BEL","","ALL","2017","11397226"
"BEL","","ALL","2018","11433256"
"BEL","","ALL","2019","11502704"
"BEL","","ALL","2020","11544241"
"BEL","","ALL","2021","11592952"
"BEL","","ALL","2022","11655930"
"BEL","","ALL","2023","11655930"
"BGR","","ALL","1970","8489600"
"BGR","","ALL","1971","8536400"
"BGR","","ALL","1972","8576200"
"BGR","","ALL","1973","8621000"
"BGR","","ALL","1974","8678700"
"BGR","","ALL","1975","8721800"
"BGR","","ALL","1976","8758600"
"BGR","","ALL","1977","8804200"
"BGR","","ALL","1978","8814000"
"BGR","","ALL","1979","8825900"
"BGR","","ALL","1980","8861534.5"
"BGR","","ALL","1981","8891116.5"
"BGR","","ALL","1982","8917458.5"
"BGR","","ALL","1983","8939740"
"BGR","","ALL","1984","8960679"
"BGR","","ALL","1985","8960547"
"BGR","","ALL","1986","8958171"
"BGR","","ALL","1987","8971358.5"
"BGR","","ALL","1988","8981445.5"
"BGR","","ALL","1989","8876972"
"BGR","","ALL","1990","8718288.5"
"BGR","","ALL","1991","8632367"
"BGR","","ALL","1992","8540200"
"BGR","","ALL","1993","8472300"
"BGR","","ALL","1994","8443600"
"BGR","","ALL","1995","8406100"
"BGR","","ALL","1996","8362800"
"BGR","","ALL","1997","8312000"
"BGR","","ALL","1998","8256800"
"BGR","","ALL","1999","8210624"
"BGR","","ALL","2000","8170172"
"BGR","","ALL","2001","7913301"
"BGR","","ALL","2002","7868900"
"BGR","","ALL","2003","7823557"
"BGR","","ALL","2004","7781161"
