"INDICATOR","HFA_357"

"HFA_357","Incidence of cancer per 100 000, by sex"

"UNIT_TYPE","Unit"
"CASES_100K","cases per 100 000 population"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"
"JMF","Joint Monitoring Framework (JMF)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1990","85.59"
"ALB","","ALL","1991","62.4"
"ALB","","ALL","1992","63.45"
"ALB","","ALL","1993","67.4"
"ALB","","ALL","1994","68.49"
"ALB","","ALL","1995","73.78"
"ALB","","ALL","1996","83.31"
"ALB","","ALL","1997","71.32"
"ALB","","ALL","1998","83.89"
"ALB","","ALL","1999","81.93"
"ALB","","ALL","2000","102.89"
"ALB","","ALL","2001","100.28"
"ALB","","ALL","2002","95.78"
"ALB","","ALL","2003","99.91"
"ALB","","ALL","2004","103.35"
"ALB","","ALL","2005","107.92"
"ALB","","ALL","2007","105.45"
"ALB","","ALL","2008","117.67"
"ALB","","ALL","2009","110.13"
"ALB","","ALL","2010","121.04"
"ALB","","ALL","2011","119.32"
"ALB","","ALL","2012","117.09"
"ALB","","ALL","2013","135.88"
"ALB","","ALL","2015","189.4"
"ALB","","ALL","2016","189.34"
"ALB","","ALL","2017","220.36"
"ALB","","ALL","2018","217.3"
"ALB","","ALL","2019","221"
"ALB","","ALL","2020","155.18"
"ALB","","ALL","2021","214.68"
"ARM","","ALL","1980","114.31"
"ARM","","ALL","1981","129.06"
"ARM","","ALL","1982","131.74"
"ARM","","ALL","1983","134.73"
"ARM","","ALL","1984","141.63"
"ARM","","ALL","1985","145.75"
"ARM","","ALL","1986","149.72"
"ARM","","ALL","1987","155.01"
"ARM","","ALL","1988","157.9"
"ARM","","ALL","1989","159.4"
"ARM","","ALL","1990","154.02"
"ARM","","ALL","1991","135.8"
"ARM","","ALL","1992","121.07"
"ARM","","ALL","1993","132.46"
"ARM","","ALL","1994","134.51"
"ARM","","ALL","1995","144.31"
"ARM","","ALL","1996","146.42"
"ARM","","ALL","1997","145.07"
"ARM","","ALL","1998","158.88"
"ARM","","ALL","1999","167.54"
"ARM","","ALL","2000","167.75"
"ARM","","ALL","2001","176.22"
"ARM","","ALL","2002","178.56"
"ARM","","ALL","2003","185.32"
"ARM","","ALL","2004","192.1"
"ARM","","ALL","2005","198.79"
"ARM","","ALL","2006","221.76"
"ARM","","ALL","2007","226.06"
"ARM","","ALL","2008","226.84"
"ARM","","ALL","2009","236.06"
"ARM","","ALL","2010","233.2"
"ARM","","ALL","2011","240.42"
"ARM","","ALL","2012","260.47"
"ARM","","ALL","2013","261.78"
"ARM","","ALL","2014","278.26"
"ARM","","ALL","2015","277.43"
"ARM","","ALL","2016","276.8"
"ARM","","ALL","2017","281.56"
"ARM","","ALL","2018","230.62"
"ARM","","ALL","2019","266.35"
"ARM","","ALL","2020","234.06"
"ARM","","ALL","2021","257.91"
"ARM","","ALL","2022","292.86"
"AUT","","ALL","1983","388.02"
"AUT","","ALL","1984","392.31"
"AUT","","ALL","1985","386.78"
"AUT","","ALL","1986","380.88"
"AUT","","ALL","1987","390.89"
"AUT","","ALL","1988","414.75"
"AUT","","ALL","1989","418.65"
"AUT","","ALL","1990","407.59"
"AUT","","ALL","1991","402.73"
"AUT","","ALL","1992","402.06"
"AUT","","ALL","1993","419.94"
"AUT","","ALL","1994","425.17"
"AUT","","ALL","1995","434.03"
"AUT","","ALL","1996","445.04"
"AUT","","ALL","1997","459.01"
"AUT","","ALL","1998","459.46"
"AUT","","ALL","1999","449.26"
"AUT","","ALL","2000","469.4"
"AUT","","ALL","2001","467.14"
"AUT","","ALL","2002","466.97"
"AUT","","ALL","2003","477.43"
"AUT","","ALL","2004","481.47"
"AUT","","ALL","2005","465.99"
"AUT","","ALL","2006","478.01"
"AUT","","ALL","2007","478.69"
"AUT","","ALL","2008","474.48"
"AUT","","ALL","2009","471.09"
"AUT","","ALL","2010","474.66"
"AUT","","ALL","2011","476.85"
"AUT","","ALL","2012","481.36"
"AUT","","ALL","2013","474.16"
"AUT","","ALL","2014","486.46"
"AUT","","ALL","2015","490.66"
"AUT","","ALL","2016","498.11"
"AUT","","ALL","2017","492.48"
"AUT","","ALL","2018","483.82"
"AUT","","ALL","2019","493.79"
"AUT","","ALL","2020","485.65"
"AUT","","ALL","2021","504.88"
"AUT","","ALL","2022","500.74"
"AZE","","ALL","1990","132.96"
"AZE","","ALL","1991","108.07"
"AZE","","ALL","1992","89.26"
"AZE","","ALL","1993","71.3"
"AZE","","ALL","1994","71.41"
"AZE","","ALL","1995","83.59"
"AZE","","ALL","1996","73.42"
"AZE","","ALL","1997","69.7"
"AZE","","ALL","1998","61.14"
"AZE","","ALL","1999","58.35"
"AZE","","ALL","2000","59.69"
"AZE","","ALL","2001","62.7"
"AZE","","ALL","2002","64.89"
"AZE","","ALL","2003","67.9"
"AZE","","ALL","2004","73.54"
"AZE","","ALL","2005","74.8"
"AZE","","ALL","2006","78.5"
"AZE","","ALL","2007","81.89"
"AZE","","ALL","2008","83.47"
"AZE","","ALL","2009","85.54"
"AZE","","ALL","2010","89.67"
"AZE","","ALL","2011","92.65"
"AZE","","ALL","2012","92.39"
"AZE","","ALL","2013","96.25"
"AZE","","ALL","2014","99.1"
"AZE","","ALL","2015","105.53"
"AZE","","ALL","2016","109.51"
"AZE","","ALL","2017","113.58"
"BEL","","ALL","1990","322"
"BEL","","ALL","1991","333.04"
"BEL","","ALL","1992","319.49"
"BEL","","ALL","1993","324.7"
"BEL","","ALL","1994","304.26"
"BEL","","ALL","1995","304.12"
"BEL","","ALL","1996","330.12"
"BEL","","ALL","1997","373.23"
"BEL","","ALL","1998","401.81"
"BEL","","ALL","1999","439.23"
"BEL","","ALL","2000","460.51"
"BEL","","ALL","2001","467.5"
"BEL","","ALL","2002","476.23"
"BEL","","ALL","2003","499.98"
"BEL","","ALL","2004","582.9"
"BEL","","ALL","2005","573.95"
"BEL","","ALL","2006","576.53"
"BEL","","ALL","2007","559.77"
"BEL","","ALL","2008","560.19"
"BEL","","ALL","2009","561.03"
"BEL","","ALL","2010","571.78"
"BEL","","ALL","2011","584.52"
"BEL","","ALL","2012","586.77"
"BEL","","ALL","2013","585.83"
"BEL","","ALL","2014","604.12"
"BEL","","ALL","2015","595.49"
"BEL","","ALL","2016","599.86"
"BEL","","ALL","2017","602.8"
"BEL","","ALL","2018","616.34"
"BEL","","ALL","2019","626.69"
"BEL","","ALL","2020","597.96"
"BEL","","ALL","2021","646.93"
"BGR","","ALL","1980","232.69"
"BGR","","ALL","1981","235.12"
"BGR","","ALL","1982","238.36"
"BGR","","ALL","1983","238.36"
"BGR","","ALL","1984","243.03"
"BGR","","ALL","1985","233.08"
"BGR","","ALL","1986","251.22"
"BGR","","ALL","1987","253.51"
"BGR","","ALL","1988","258.72"
"BGR","","ALL","1989","254.41"
"BGR","","ALL","1990","245.12"
"BGR","","ALL","1991","250.02"
"BGR","","ALL","1992","267.65"
