"INDICATOR","HFA_421"

"HFA_421","% of regular daily smokers in the population, age 15+, by sex"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1990","29.5"
"ALB","","ALL","2000","40.1"
"ALB","","ALL","2002","24.7"
"ALB","","ALL","2007","34.9"
"ALB","","ALL","2010","39"
"ALB","","ALL","2013","38"
"ALB","","ALL","2014","29.85"
"ALB","","ALL","2015","23.95"
"AND","","ALL","1997","35.9"
"AND","","ALL","2002","36"
"AND","","ALL","2011","30.54"
"ARM","","ALL","1998","29"
"ARM","","ALL","2001","35.3"
"ARM","","ALL","2005","28.4"
"ARM","","ALL","2006","27.3"
"ARM","","ALL","2007","27"
"ARM","","ALL","2008","27"
"ARM","","ALL","2009","26.8"
"ARM","","ALL","2010","26.8"
"ARM","","ALL","2011","26.8"
"ARM","","ALL","2012","23"
"ARM","","ALL","2013","23"
"ARM","","ALL","2014","23"
"ARM","","ALL","2015","26.2"
"ARM","","ALL","2016","26.2"
"ARM","","ALL","2017","26.2"
"ARM","","ALL","2022","25.2"
"AUT","","ALL","1986","24.9"
"AUT","","ALL","1991","27.5"
"AUT","","ALL","1992","35"
"AUT","","ALL","1995","24"
"AUT","","ALL","1999","36.3"
"AUT","","ALL","2006","23.2"
"AUT","","ALL","2014","24.3"
"AUT","","ALL","2019","20.6"
"AZE","","ALL","1997","26.5"
"AZE","","ALL","2001","20.4"
"AZE","","ALL","2002","19.6"
"AZE","","ALL","2003","19"
"AZE","","ALL","2004","19.3"
"AZE","","ALL","2005","17.9"
"AZE","","ALL","2006","18.2"
"AZE","","ALL","2007","17.7"
"AZE","","ALL","2008","17.7"
"AZE","","ALL","2009","17.1"
"AZE","","ALL","2010","17"
"AZE","","ALL","2011","16.7"
"AZE","","ALL","2012","16.7"
"AZE","","ALL","2013","18.4"
"AZE","","ALL","2014","18.2"
"AZE","","ALL","2015","17"
"AZE","","ALL","2016","16.2"
"AZE","","ALL","2017","15.9"
"BEL","","ALL","1982","40"
"BEL","","ALL","1983","37"
"BEL","","ALL","1984","36"
"BEL","","ALL","1985","35"
"BEL","","ALL","1986","35"
"BEL","","ALL","1987","32"
"BEL","","ALL","1988","32"
"BEL","","ALL","1989","32"
"BEL","","ALL","1990","32"
"BEL","","ALL","1991","29"
"BEL","","ALL","1992","26"
"BEL","","ALL","1993","25"
"BEL","","ALL","1994","26"
"BEL","","ALL","1995","28"
"BEL","","ALL","1996","30"
"BEL","","ALL","1997","25.5"
"BEL","","ALL","1998","27"
"BEL","","ALL","1999","29"
"BEL","","ALL","2000","31"
"BEL","","ALL","2001","28"
"BEL","","ALL","2002","29"
"BEL","","ALL","2003","27"
"BEL","","ALL","2004","24"
"BEL","","ALL","2005","20"
"BEL","","ALL","2006","22"
"BEL","","ALL","2007","22"
"BEL","","ALL","2008","20.5"
"BEL","","ALL","2013","19"
"BEL","","ALL","2018","15.4"
"BGR","","ALL","1986","31.4"
"BGR","","ALL","1989","33"
"BGR","","ALL","1993","33"
"BGR","","ALL","1995","33.6"
"BGR","","ALL","1996","35.6"
"BGR","","ALL","2001","32.7"
"BGR","","ALL","2007","39.7"
"BGR","","ALL","2008","29.2"
"BGR","","ALL","2014","28.2"
"BGR","","ALL","2019","29.1"
"BIH","","ALL","2002","37.6"
"BIH","","ALL","2010","14.3"
