"INDICATOR","HFA_630"

"HFA_630","Age-standardized prevalence of obesity (defined as BMI = 30 kg/m2) in people aged 18 years and over, WHO estimates (%), by sex"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1975","6.5"
"ALB","","ALL","1976","6.7"
"ALB","","ALL","1977","6.8"
"ALB","","ALL","1978","7"
"ALB","","ALL","1979","7.2"
"ALB","","ALL","1980","7.4"
"ALB","","ALL","1981","7.6"
"ALB","","ALL","1982","7.8"
"ALB","","ALL","1983","8"
"ALB","","ALL","1984","8.3"
"ALB","","ALL","1985","8.5"
"ALB","","ALL","1986","8.7"
"ALB","","ALL","1987","9"
"ALB","","ALL","1988","9.3"
"ALB","","ALL","1989","9.5"
"ALB","","ALL","1990","10.9"
"ALB","","ALL","1991","11.01"
"ALB","","ALL","1992","11.13"
"ALB","","ALL","1993","11.26"
"ALB","","ALL","1994","11.4"
"ALB","","ALL","1995","11.57"
"ALB","","ALL","1996","11.75"
"ALB","","ALL","1997","11.96"
"ALB","","ALL","1998","12.2"
"ALB","","ALL","1999","12.47"
"ALB","","ALL","2000","12.76"
"ALB","","ALL","2001","13.08"
"ALB","","ALL","2002","13.4"
"ALB","","ALL","2003","13.74"
"ALB","","ALL","2004","14.09"
"ALB","","ALL","2005","14.46"
"ALB","","ALL","2006","14.85"
"ALB","","ALL","2007","15.25"
"ALB","","ALL","2008","15.68"
"ALB","","ALL","2009","16.11"
"ALB","","ALL","2010","16.57"
"ALB","","ALL","2011","17.04"
"ALB","","ALL","2012","17.52"
"ALB","","ALL","2013","18.03"
"ALB","","ALL","2014","18.54"
"ALB","","ALL","2015","19.09"
"ALB","","ALL","2016","19.65"
"ALB","","ALL","2017","20.23"
"ALB","","ALL","2018","20.82"
"ALB","","ALL","2019","21.42"
"ALB","","ALL","2020","22.04"
"ALB","","ALL","2021","22.69"
"ALB","","ALL","2022","23.36"
"AND","","ALL","1975","12.9"
"AND","","ALL","1976","13.5"
"AND","","ALL","1977","14"
"AND","","ALL","1978","14.5"
"AND","","ALL","1979","15"
"AND","","ALL","1980","15.5"
"AND","","ALL","1981","16"
"AND","","ALL","1982","16.5"
"AND","","ALL","1983","16.9"
"AND","","ALL","1984","17.4"
"AND","","ALL","1985","17.8"
"AND","","ALL","1986","18.2"
"AND","","ALL","1987","18.6"
"AND","","ALL","1988","19"
"AND","","ALL","1989","19.3"
"AND","","ALL","1990","11.12"
"AND","","ALL","1991","11.28"
"AND","","ALL","1992","11.45"
"AND","","ALL","1993","11.65"
"AND","","ALL","1994","11.88"
"AND","","ALL","1995","12.14"
"AND","","ALL","1996","12.42"
"AND","","ALL","1997","12.73"
"AND","","ALL","1998","13.05"
"AND","","ALL","1999","13.38"
"AND","","ALL","2000","13.71"
"AND","","ALL","2001","14.05"
"AND","","ALL","2002","14.38"
"AND","","ALL","2003","14.71"
"AND","","ALL","2004","15.02"
"AND","","ALL","2005","15.32"
"AND","","ALL","2006","15.6"
"AND","","ALL","2007","15.85"
"AND","","ALL","2008","16.07"
"AND","","ALL","2009","16.26"
"AND","","ALL","2010","16.42"
"AND","","ALL","2011","16.55"
"AND","","ALL","2012","16.67"
"AND","","ALL","2013","16.77"
"AND","","ALL","2014","16.88"
"AND","","ALL","2015","16.99"
"AND","","ALL","2016","17.12"
"AND","","ALL","2017","17.26"
"AND","","ALL","2018","17.4"
"AND","","ALL","2019","17.56"
"AND","","ALL","2020","17.72"
"AND","","ALL","2021","17.91"
"AND","","ALL","2022","18.1"
"ARM","","ALL","1975","7.3"
"ARM","","ALL","1976","7.6"
"ARM","","ALL","1977","7.9"
"ARM","","ALL","1978","8.1"
"ARM","","ALL","1979","8.4"
"ARM","","ALL","1980","8.7"
"ARM","","ALL","1981","9"
"ARM","","ALL","1982","9.3"
"ARM","","ALL","1983","9.5"
"ARM","","ALL","1984","9.8"
"ARM","","ALL","1985","10.1"
"ARM","","ALL","1986","10.3"
"ARM","","ALL","1987","10.6"
"ARM","","ALL","1988","10.9"
"ARM","","ALL","1989","11.2"
"ARM","","ALL","1990","11.85"
"ARM","","ALL","1991","12.14"
"ARM","","ALL","1992","12.46"
"ARM","","ALL","1993","12.79"
"ARM","","ALL","1994","13.13"
"ARM","","ALL","1995","13.48"
"ARM","","ALL","1996","13.82"
"ARM","","ALL","1997","14.18"
"ARM","","ALL","1998","14.54"
"ARM","","ALL","1999","14.91"
"ARM","","ALL","2000","15.3"
"ARM","","ALL","2001","15.69"
"ARM","","ALL","2002","16.09"
"ARM","","ALL","2003","16.49"
"ARM","","ALL","2004","16.9"
"ARM","","ALL","2005","17.32"
"ARM","","ALL","2006","17.74"
"ARM","","ALL","2007","18.17"
"ARM","","ALL","2008","18.6"
"ARM","","ALL","2009","19.03"
"ARM","","ALL","2010","19.46"
"ARM","","ALL","2011","19.89"
"ARM","","ALL","2012","20.32"
"ARM","","ALL","2013","20.75"
"ARM","","ALL","2014","21.18"
"ARM","","ALL","2015","21.6"
"ARM","","ALL","2016","22.02"
"ARM","","ALL","2017","22.43"
"ARM","","ALL","2018","22.84"
"ARM","","ALL","2019","23.24"
"ARM","","ALL","2020","23.65"
